"","name","info","point","value"
"1","
                追风筝的人

                
              ","[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元",8.9,"(
                    450661人评价
                )"
"2","
                解忧杂货店

                
              ","[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元",8.5,"(
                    438754人评价
                )"
"3","
                小王子

                
              ","[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元",9,"(
                    373339人评价
                )"
"4","
                白夜行

                
              ","[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元",9.1,"(
                    324656人评价
                )"
"5","
                围城

                
              ","钱锺书 / 人民文学出版社 / 1991-2 / 19.00",8.9,"(
                    270011人评价
                )"
"6","
                三体

                
                   : “地球往事”三部曲之一 
              ","刘慈欣 / 重庆出版社 / 2008-1 / 23.00",8.8,"(
                    267848人评价
                )"
"7","
                嫌疑人X的献身

                
              ","[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00",8.9,"(
                    266755人评价
                )"
"8","
                活着

                
              ","余华 / 作家出版社 / 2012-8-1 / 20.00元",9.3,"(
                    237233人评价
                )"
"9","
                挪威的森林

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元",8,"(
                    251847人评价
                )"
"10","
                百年孤独

                
              ","[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元",9.2,"(
                    198509人评价
                )"
"11","
                红楼梦

                
              ","[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元",9.6,"(
                    188573人评价
                )"
"12","
                看见

                
              ","柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元",8.8,"(
                    192937人评价
                )"
"13","
                平凡的世界（全三部）

                
              ","路遥 / 人民文学出版社 / 2005-1 / 64.00元",9,"(
                    164794人评价
                )"
"14","
                三体Ⅱ

                
                   : 黑暗森林 
              ","刘慈欣 / 重庆出版社 / 2008-5 / 32.00",9.3,"(
                    158385人评价
                )"
"15","
                三体Ⅲ

                
                   : 死神永生 
              ","刘慈欣 / 重庆出版社 / 2010-11 / 38.00元",9.2,"(
                    156577人评价
                )"
"16","
                不能承受的生命之轻

                
              ","[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元",8.5,"(
                    169704人评价
                )"
"17","
                达·芬奇密码

                
              ","[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元",8.2,"(
                    168077人评价
                )"
"18","
                我们仨

                
              ","杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元",8.7,"(
                    150416人评价
                )"
"19","
                天才在左 疯子在右

                
                   : 国内第一本精神病人访谈手记 
              ","高铭 / 武汉大学出版社 / 2010-2 / 29.80元",8.1,"(
                    157860人评价
                )"
"20","
                简爱（英文全本）

                
              ","[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元",8.5,"(
                    142191人评价
                )"
"21","
                哈利·波特与魔法石

                
              ","[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元",9.1,"(
                    127205人评价
                )"
"22","
                明朝那些事儿（壹）

                
                   : 洪武大帝 
              ","当年明月 / 中国友谊出版公司 / 2006-9 / 24.80",8.7,"(
                    130430人评价
                )"
"23","
                傲慢与偏见

                
              ","[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元",8.8,"(
                    129127人评价
                )"
"24","
                目送

                
              ","龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元",8.7,"(
                    130325人评价
                )"
"25","
                恶意

                
              ","[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00",8.4,"(
                    126666人评价
                )"
"26","
                撒哈拉的故事

                
              ","三毛 / 皇冠出版社 / 1976 / 160 TWD",9,"(
                    118550人评价
                )"
"27","
                霍乱时期的爱情

                
              ","[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元",9,"(
                    116386人评价
                )"
"28","
                许三观卖血记

                
              ","余华 / 南海出版公司 / 1998-9 / 16.80元",8.7,"(
                    117210人评价
                )"
"29","
                飘

                
              ","[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元",9.3,"(
                    110936人评价
                )"
"30","
                边城

                
              ","沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元",8.6,"(
                    117708人评价
                )"
"31","
                倾城之恋

                
              ","花城出版社 / 1997-3-1 / 11.00",8.5,"(
                    118251人评价
                )"
"32","
                送你一颗子弹

                
              ","刘瑜 / 上海三联书店 / 2010-1 / 25.00元",8.6,"(
                    109204人评价
                )"
"33","
                狼图腾

                
              ","姜戎 / 长江文艺出版社 / 2004-4 / 32.00元",8.2,"(
                    112375人评价
                )"
"34","
                哈利·波特与阿兹卡班的囚徒

                
              ","[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元",9,"(
                    102009人评价
                )"
"35","
                盗墓笔记

                
                   : 七星鲁王宫 
              ","南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元",8.3,"(
                    107767人评价
                )"
"36","
                人间失格

                
              ","太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元",8.3,"(
                    108083人评价
                )"
"37","
                哈利·波特与火焰杯

                
              ","[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元",9,"(
                    98128人评价
                )"
"38","
                情人

                
              ","[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元",8.1,"(
                    111754人评价
                )"
"39","
                哈利·波特与密室

                
              ","[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元",8.9,"(
                    98277人评价
                )"
"40","
                万历十五年

                
              ","[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元",8.9,"(
                    98838人评价
                )"
"41","
                穆斯林的葬礼

                
              ","霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00",8.1,"(
                    107960人评价
                )"
"42","
                窗边的小豆豆

                
              ","[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元",8.7,"(
                    98105人评价
                )"
"43","
                老人与海

                
              ","海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元",8.4,"(
                    97263人评价
                )"
"44","
                1984

                
              ","[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00",9.3,"(
                    85546人评价
                )"
"45","
                1Q84 BOOK 1

                
                   : 4月～6月 
              ","[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元",8.3,"(
                    96666人评价
                )"
"46","
                黄金时代

                
                   : 时代三部曲 
              ","王小波 / 花城出版社 / 1999-3 / 19.00元",8.8,"(
                    89863人评价
                )"
"47","
                哈利·波特与混血王子

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元",8.8,"(
                    86036人评价
                )"
"48","
                人类简史

                
                   : 从动物到上帝 
              ","[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00",9.1,"(
                    83910人评价
                )"
"49","
                三国演义（全二册）

                
              ","[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元",9.2,"(
                    81101人评价
                )"
"50","
                房思琪的初恋乐园

                
              ","林奕含 / 北京联合出版公司 / 2018-1 / 45.00元",9.2,"(
                    79849人评价
                )"
"51","
                向左走·向右走

                
              ","幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元",8.4,"(
                    87875人评价
                )"
"52","
                哈利·波特与凤凰社

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元",8.7,"(
                    82489人评价
                )"
"53","
                悟空传

                
                   : 修订版 
              ","今何在 / 光明日报出版社 / 2001-4 / 14.80元",8.3,"(
                    88617人评价
                )"
"54","
                牧羊少年奇幻之旅

                
              ","[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元",8.6,"(
                    85447人评价
                )"
"55","
                鲁滨逊漂流记

                
              ","[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元",8,"(
                    88601人评价
                )"
"56","
                苏菲的世界

                
              ","（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元",8.5,"(
                    84851人评价
                )"
"57","
                哈利·波特与死亡圣器

                
              ","[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元",9,"(
                    77156人评价
                )"
"58","
                天龙八部

                
              ","金庸 / 有1996年11月北平第4次印刷本 / 生活.读书.新知三联书店 / 1994-5 / 96.0",9.1,"(
                    76498人评价
                )"
"59","
                无声告白

                
              ","[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元",8.2,"(
                    82721人评价
                )"
"60","
                莲花

                
              ","安妮宝贝 / 作家出版社 / 2006-3 / 25.00元",8,"(
                    85081人评价
                )"
"61","
                骆驼祥子

                
              ","老舍 / 人民文学出版社 / 2000-3-1 / 12.00",8.3,"(
                    78346人评价
                )"
"62","
                呼啸山庄

                
              ","（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元",8.4,"(
                    79213人评价
                )"
"63","
                基督山伯爵

                
              ","大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元",9,"(
                    72575人评价
                )"
"64","
                亲爱的安德烈

                
              ","龙应台 / 人民文学出版社 / 2008-12 / 26.00",8.7,"(
                    77079人评价
                )"
"65","
                白鹿原

                
              ","陈忠实 / 人民文学出版社 / 1997-12 / 28.00元",8.7,"(
                    73836人评价
                )"
"66","
                局外人

                
              ","[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元",9,"(
                    71861人评价
                )"
"67","
                灿烂千阳

                
              ","[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元",8.8,"(
                    71776人评价
                )"
"68","
                茶花女

                
              ","小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元",8.2,"(
                    77379人评价
                )"
"69","
                一个陌生女人的来信

                
              ","[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元",8.7,"(
                    72499人评价
                )"
"70","
                海边的卡夫卡

                
              ","[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元",8.1,"(
                    76654人评价
                )"
"71","
                笑傲江湖（全四册）

                
              ","金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元",9,"(
                    67547人评价
                )"
"72","
                沉默的大多数

                
                   : 王小波杂文随笔全编 
              ","王小波 / 中国青年出版社 / 1997-10 / 27.00元",9.1,"(
                    67214人评价
                )"
"73","
                福尔摩斯探案全集（上中下）

                
              ","[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元",9.2,"(
                    65360人评价
                )"
"74","
                兄弟（上）

                
              ","余华 / 上海文艺出版社 / 2005-8 / 16.00元",8.3,"(
                    72041人评价
                )"
"75","
                了不起的盖茨比

                
              ","菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元",8.3,"(
                    69424人评价
                )"
"76","
                少有人走的路

                
                   : 心智成熟的旅程 
              ","[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元",8.4,"(
                    69398人评价
                )"
"77","
                东方快车谋杀案

                
              ","[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元",9,"(
                    63192人评价
                )"
"78","
                情书

                
              ","[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元",8.6,"(
                    65451人评价
                )"
"79","
                月亮与六便士

                
              ","[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元",8.8,"(
                    63588人评价
                )"
"80","
                无人生还

                
              ","[英] 阿加莎<U+30FB>克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00",8.9,"(
                    62453人评价
                )"
"81","
                神雕侠侣

                
              ","金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元",8.9,"(
                    61167人评价
                )"
"82","
                巴黎圣母院

                
              ","[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元",8.3,"(
                    64823人评价
                )"
"83","
                肖申克的救赎

                
              ","[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元",9.1,"(
                    57839人评价
                )"
"84","
                民主的细节

                
                   : 美国当代政治观察随笔 
              ","刘瑜 / 上海三联书店 / 2009-6 / 25.00",8.6,"(
                    62276人评价
                )"
"85","
                羊脂球

                
              ","（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元",8.1,"(
                    64640人评价
                )"
"86","
                呐喊

                
              ","鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元",8.9,"(
                    58456人评价
                )"
"87","
                乌合之众

                
                   : 大众心理研究 
              ","（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元",8.2,"(
                    64218人评价
                )"
"88","
                动物农场

                
              ","[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元",9.2,"(
                    55820人评价
                )"
"89","
                遇见未知的自己

                
              ","张德芬 / 华夏出版社 / 2008-1 / 29.00",8,"(
                    64824人评价
                )"
"90","
                爱你就像爱生命

                
              ","王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元",8.8,"(
                    57802人评价
                )"
"91","
                当我谈跑步时我谈些什么

                
              ","[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00",8.2,"(
                    61853人评价
                )"
"92","
                安徒生童话故事集

                
              ","（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00",9.2,"(
                    53607人评价
                )"
"93","
                红玫瑰与白玫瑰

                
              ","张爱玲 / 花城出版社 / 1996-06 / 12.80元",8.4,"(
                    59078人评价
                )"
"94","
                巨人的陨落

                
                   : 世纪三部曲 
              ","[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元",8.9,"(
                    51944人评价
                )"
